id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,yr_built,yr_renovated,zipcode,sqft_living15,sqft_lot15
7129300520,221900,3,1,1180,5650,1,0,0,3,7,1180,1955,0,98178,1340,5650
6414100192,538000,3,2.25,2570,7242,2,0,0,3,7,2170,1951,1991,98125,1690,7639
5631500400,180000,2,1,770,10000,1,0,0,3,6,770,1933,0,98028,2720,8062
2487200875,604000,4,3,1960,5000,1,0,0,5,7,1050,1965,0,98136,1360,5000
1954400510,510000,3,2,1680,8080,1,0,0,3,8,1680,1987,0,98074,1800,7503
7237550310,1.23E+06,4,4.5,5420,101930,1,0,0,3,11,3890,2001,0,98053,4760,101930
1321400060,257500,3,2.25,1715,6819,2,0,0,3,7,1715,1995,0,98003,2238,6819
2008000270,291850,3,1.5,1060,9711,1,0,0,3,7,1060,1963,0,98198,1650,9711
2414600126,229500,3,1,1780,7470,1,0,0,3,7,1050,1960,0,98146,1780,8113
3793500160,323000,3,2.5,1890,6560,2,0,0,3,7,1890,2003,0,98038,2390,7570
1736800520,662500,3,2.5,3560,9796,1,0,0,3,8,1860,1965,0,98007,2210,8925
9212900260,468000,2,1,1160,6000,1,0,0,4,7,860,1942,0,98115,1330,6000
114101516,310000,3,1,1430,19901,1.5,0,0,4,7,1430,1927,0,98028,1780,12697
6054650070,400000,3,1.75,1370,9680,1,0,0,4,7,1370,1977,0,98074,1370,10208
1175000570,530000,5,2,1810,4850,1.5,0,0,3,7,1810,1900,0,98107,1360,4850
9297300055,650000,4,3,2950,5000,2,0,3,3,9,1980,1979,0,98126,2140,4000
1875500060,395000,3,2,1890,14040,2,0,0,3,7,1890,1994,0,98019,1890,14018
6865200140,485000,4,1,1600,4300,1.5,0,0,4,7,1600,1916,0,98103,1610,4300
16000397,189000,2,1,1200,9850,1,0,0,4,7,1200,1921,0,98002,1060,5095
7983200060,230000,3,1,1250,9774,1,0,0,4,7,1250,1969,0,98003,1280,8850
6300500875,385000,4,1.75,1620,4980,1,0,0,4,7,860,1947,0,98133,1400,4980
2524049179,2.00E+06,3,2.75,3050,44867,1,0,4,3,9,2330,1968,0,98040,4110,20336
7137970340,285000,5,2.5,2270,6300,2,0,0,3,8,2270,1995,0,98092,2240,7005
8091400200,252700,2,1.5,1070,9643,1,0,0,3,7,1070,1985,0,98030,1220,8386
3814700200,329000,3,2.25,2450,6500,2,0,0,4,8,2450,1985,0,98030,2200,6865
1202000200,233000,3,2,1710,4697,1.5,0,0,5,6,1710,1941,0,98002,1030,4705
1794500383,937000,3,1.75,2450,2691,2,0,0,3,8,1750,1915,0,98119,1760,3573
3303700376,667000,3,1,1400,1581,1.5,0,0,5,8,1400,1909,0,98112,1860,3861
5101402488,438000,3,1.75,1520,6380,1,0,0,3,7,790,1948,0,98115,1520,6235
1873100390,719000,4,2.5,2570,7173,2,0,0,3,8,2570,2005,0,98052,2630,6026
8562750320,580500,3,2.5,2320,3980,2,0,0,3,8,2320,2003,0,98027,2580,3980
2426039314,280000,2,1.5,1190,1265,3,0,0,3,7,1190,2005,0,98133,1390,1756
461000390,687500,4,1.75,2330,5000,1.5,0,0,4,7,1510,1929,0,98117,1460,5000
